,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG
1,Andrew Wiggins,25,70,70,2327,10.0,21.0,0.476,2.8,7.4,0.377,7.2,13.6,0.53,3.4,4.8,0.716,1.6,5.2,6.8,3.4,1.3,1.4,2.5,3.1,26.2,107,111
2,Stephen Curry,32,62,62,2112,14.3,29.5,0.483,7.3,17.3,0.421,7.0,12.2,0.571,7.9,8.6,0.918,0.6,6.9,7.5,7.9,1.7,0.2,4.6,2.6,43.8,119,111
3,Draymond Green,30,62,62,1944,4.0,9.0,0.445,0.8,3.0,0.274,3.2,6.0,0.53,1.5,2.0,0.78,1.3,9.3,10.6,13.3,2.5,1.2,4.5,4.6,10.4,109,106
4,Kelly Oubre,25,55,50,1687,8.9,20.2,0.439,2.5,7.9,0.316,6.3,12.2,0.519,3.4,4.9,0.695,2.3,6.9,9.2,2.0,1.6,1.2,1.9,3.4,23.6,103,110
5,Kent Bazemore,31,65,16,1274,6.3,14.0,0.449,2.7,6.6,0.411,3.5,7.3,0.482,1.9,2.7,0.689,1.0,7.3,8.3,3.9,2.4,1.2,2.9,5.6,17.1,102,108
6,Kevon Looney,24,59,32,1108,4.4,8.0,0.548,0.2,0.7,0.235,4.2,7.2,0.579,1.2,1.9,0.636,4.7,8.1,12.8,4.8,0.9,0.9,1.5,5.6,10.1,129,111
7,Damion Lee,28,57,1,1079,5.6,11.9,0.467,3.4,8.4,0.397,2.2,3.5,0.638,1.7,1.9,0.909,1.0,6.9,7.8,3.2,1.7,0.3,1.3,3.9,16.2,121,111
8,Juan Toscano-Anderson,27,51,15,1047,5.1,8.7,0.585,1.6,3.8,0.412,3.5,4.9,0.718,0.9,1.3,0.69,1.3,8.7,10.0,6.3,1.7,1.2,2.6,4.8,12.7,121,109
9,Jordan Poole,21,49,6,930,9.5,22.4,0.424,4.5,13.1,0.346,4.9,9.2,0.536,4.7,5.4,0.877,0.7,3.6,4.3,4.6,1.2,0.4,2.3,4.2,28.2,110,114
10,James Wiseman,19,39,27,836,10.7,20.7,0.519,0.7,2.1,0.316,10.1,18.5,0.542,3.0,4.8,0.628,3.1,9.6,12.7,1.5,0.6,2.0,3.4,6.8,25.2,99,109
11,Mychal Mulder,26,58,5,717,7.1,16.1,0.443,5.1,13.0,0.392,2.0,3.1,0.66,0.9,1.4,0.619,0.5,3.1,3.7,1.6,0.7,0.7,1.0,3.4,20.2,111,115
12,Eric Paschall,24,39,2,676,10.0,20.4,0.491,1.2,3.7,0.321,8.8,16.7,0.529,4.4,6.2,0.719,1.9,6.7,8.6,3.5,0.8,0.5,2.8,4.5,25.6,105,113
13,Brad Wanamaker,31,39,0,625,4.6,13.0,0.353,1.0,4.6,0.213,3.6,8.4,0.429,3.8,4.2,0.893,0.6,4.4,5.0,7.4,2.0,0.5,2.8,4.1,13.9,100,112
14,Nico Mannion,19,29,1,332,5.1,14.4,0.353,2.8,7.6,0.37,2.3,6.8,0.333,2.8,3.5,0.8,0.4,4.9,5.4,8.9,2.3,0.1,4.2,4.0,15.8,97,111
15,Alen SmailagiÄ‡,20,14,1,64,6.6,15.4,0.429,2.2,5.1,0.429,4.4,10.3,0.429,1.5,4.4,0.333,3.7,6.6,10.3,2.2,1.5,3.7,2.9,5.9,16.9,94,107
16,Gary Payton,28,10,0,40,11.7,15.3,0.769,2.3,4.7,0.5,9.4,10.6,0.889,3.5,4.7,0.75,2.3,10.6,12.9,1.2,7.0,1.2,1.2,9.4,29.3,152,95
17,Marquese Chriss,23,2,0,27,8.7,24.3,0.357,1.7,8.7,0.2,7.0,15.7,0.444,3.5,7.0,0.5,5.2,17.4,22.6,3.5,0.0,3.5,3.5,5.2,22.6,88,104
