,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Stephen Curry,32,62,62,34.1,10.4,21.4,0.483,5.3,12.6,0.42100000000000004,5.1,8.9,0.5710000000000001,0.606,5.8,6.3,0.9179999999999999,0.5,5.0,5.5,5.7,1.2,0.1,3.3,1.9,31.8
2,Andrew Wiggins,25,70,70,33.2,7.1,14.9,0.47600000000000003,2.0,5.2,0.377,5.1,9.7,0.53,0.542,2.4,3.4,0.716,1.1,3.7,4.8,2.4,0.9,1.0,1.8,2.2,18.6
3,Draymond Green,30,62,62,31.4,2.7,6.0,0.445,0.5,2.0,0.27399999999999997,2.1,4.0,0.53,0.491,1.0,1.3,0.78,0.9,6.2,7.1,8.9,1.7,0.8,3.0,3.1,6.9
4,Kelly Oubre,25,55,50,30.7,5.8,13.2,0.439,1.6,5.2,0.316,4.1,8.0,0.519,0.501,2.2,3.2,0.695,1.5,4.5,6.0,1.3,1.0,0.8,1.3,2.2,15.4
5,James Wiseman,19,39,27,21.4,4.9,9.4,0.519,0.3,1.0,0.316,4.6,8.5,0.542,0.535,1.4,2.2,0.628,1.4,4.4,5.8,0.7,0.3,0.9,1.5,3.1,11.5
6,Juan Toscano-Anderson,27,51,15,20.5,2.2,3.8,0.585,0.7,1.7,0.41200000000000003,1.5,2.2,0.718,0.674,0.4,0.6,0.69,0.5,3.8,4.4,2.7,0.8,0.5,1.1,2.1,5.5
7,Kent Bazemore,31,65,16,19.6,2.6,5.8,0.449,1.1,2.8,0.41100000000000003,1.5,3.1,0.48200000000000004,0.546,0.8,1.1,0.6890000000000001,0.4,3.0,3.4,1.6,1.0,0.5,1.2,2.3,7.2
8,Jordan Poole,21,49,6,19.0,3.8,9.0,0.424,1.8,5.3,0.34600000000000003,2.0,3.7,0.536,0.526,1.9,2.2,0.877,0.3,1.5,1.7,1.9,0.5,0.2,0.9,1.7,11.4
9,Damion Lee,28,57,1,18.9,2.2,4.8,0.467,1.4,3.4,0.397,0.9,1.4,0.638,0.608,0.7,0.8,0.909,0.4,2.8,3.2,1.3,0.7,0.1,0.5,1.6,6.5
10,Kevon Looney,24,59,32,18.8,1.7,3.2,0.5479999999999999,0.1,0.3,0.235,1.7,2.9,0.579,0.5589999999999999,0.5,0.7,0.636,1.9,3.3,5.1,1.9,0.4,0.4,0.6,2.2,4.0
11,Eric Paschall,24,39,2,17.3,3.7,7.5,0.491,0.4,1.4,0.321,3.3,6.2,0.529,0.52,1.6,2.3,0.7190000000000001,0.7,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.5
12,Brad Wanamaker,31,39,0,16.0,1.6,4.4,0.353,0.3,1.6,0.213,1.2,2.9,0.429,0.39,1.3,1.4,0.893,0.2,1.5,1.7,2.5,0.7,0.2,0.9,1.4,4.7
13,Marquese Chriss,23,2,0,13.5,2.5,7.0,0.35700000000000004,0.5,2.5,0.2,2.0,4.5,0.444,0.39299999999999996,1.0,2.0,0.5,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5
14,Mychal Mulder,26,58,5,12.4,1.9,4.2,0.44299999999999995,1.3,3.4,0.392,0.5,0.8,0.66,0.602,0.2,0.4,0.619,0.1,0.8,1.0,0.4,0.2,0.2,0.3,0.9,5.3
15,Nico Mannion,19,29,1,11.4,1.2,3.5,0.353,0.7,1.9,0.37,0.6,1.7,0.33299999999999996,0.451,0.7,0.9,0.8,0.1,1.2,1.3,2.2,0.6,0.0,1.0,1.0,3.9
16,Alen SmailagiÄ‡,20,14,1,4.6,0.6,1.5,0.429,0.2,0.5,0.429,0.4,1.0,0.429,0.5,0.1,0.4,0.33299999999999996,0.4,0.6,1.0,0.2,0.1,0.4,0.3,0.6,1.6
17,Gary Payton,28,10,0,4.0,1.0,1.3,0.769,0.2,0.4,0.5,0.8,0.9,0.889,0.846,0.3,0.4,0.75,0.2,0.9,1.1,0.1,0.6,0.1,0.1,0.8,2.5
