,Jersey No.,Player,Pos,Ht,Wt,Birth Date,POB,Exp,College
1,22.0,Andrew Wiggins,PF,6-7,197,"February 23, 1995",ca,6,Kansas
2,26.0,Kent Bazemore,SF,6-4,195,"July 1, 1989",us,8,Old Dominion
3,30.0,Stephen Curry,PG,6-3,185,"March 14, 1988",us,11,Davidson
4,23.0,Draymond Green,PF,6-6,230,"March 4, 1990",us,8,Michigan State
5,5.0,Kevon Looney,C,6-9,222,"February 6, 1996",us,5,UCLA
6,15.0,Mychal Mulder,PG,6-3,184,"June 12, 1994",ca,1,"Vincennes, Kentucky"
7,1.0,Damion Lee,SG,6-5,210,"October 21, 1992",us,3,"Drexel, Louisville"
8,12.0,Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us,5,Kansas
9,95.0,Juan Toscano-Anderson (TW),SG,6-6,209,"April 10, 1993",us,1,Marquette
10,3.0,Jordan Poole,SG,6-4,194,"June 19, 1999",us,1,Michigan
11,33.0,James Wiseman,C,7-0,240,"March 31, 2001",us,R,Memphis
12,7.0,Eric Paschall,PF,6-6,255,"November 4, 1996",us,1,"Fordham, Villanova"
13,2.0,Nico Mannion (TW),PG,6-2,190,"March 14, 2001",it,R,Arizona
14,6.0,Alen SmailagiÄ‡,PF,6-10,215,"August 18, 2000",rs,1,
15,,Klay Thompson,SG,6-6,215,"February 8, 1990",us,8,Washington State
