,name,age,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
1,Andrew Wiggins,25,70,70,2327.0,496.0,1042.0,0.476,138.0,366.0,0.377,358.0,676.0,0.53,0.542,169.0,236.0,0.716,79.0,258.0,337.0,167.0,66.0,69.0,124.0,156.0,1299.0
2,Stephen Curry,32,62,62,2112.0,642.0,1329.0,0.483,328.0,779.0,0.421,314.0,550.0,0.571,0.606,357.0,389.0,0.918,28.0,310.0,338.0,354.0,76.0,7.0,206.0,117.0,1969.0
3,Draymond Green,30,62,62,1944.0,166.0,373.0,0.445,34.0,124.0,0.274,132.0,249.0,0.53,0.491,64.0,82.0,0.78,54.0,386.0,440.0,549.0,104.0,50.0,185.0,191.0,430.0
4,Kelly Oubre,25,55,50,1687.0,318.0,724.0,0.439,90.0,285.0,0.316,228.0,439.0,0.519,0.501,123.0,177.0,0.695,82.0,247.0,329.0,73.0,57.0,42.0,70.0,121.0,849.0
5,Kent Bazemore,31,65,16,1274.0,170.0,379.0,0.449,74.0,180.0,0.411,96.0,199.0,0.482,0.546,51.0,74.0,0.689,26.0,198.0,224.0,105.0,65.0,33.0,78.0,151.0,465.0
6,Kevon Looney,24,59,32,1108.0,103.0,188.0,0.548,4.0,17.0,0.235,99.0,171.0,0.579,0.559,28.0,44.0,0.636,111.0,192.0,303.0,114.0,21.0,22.0,36.0,131.0,238.0
7,Damion Lee,28,57,1,1079.0,128.0,274.0,0.467,77.0,194.0,0.397,51.0,80.0,0.638,0.608,40.0,44.0,0.909,22.0,158.0,180.0,73.0,38.0,8.0,30.0,89.0,373.0
8,Juan Toscano-Anderson,27,51,15,1047.0,114.0,195.0,0.585,35.0,85.0,0.412,79.0,110.0,0.718,0.674,20.0,29.0,0.69,28.0,194.0,222.0,140.0,39.0,26.0,58.0,107.0,283.0
9,Jordan Poole,21,49,6,930.0,188.0,443.0,0.424,90.0,260.0,0.346,98.0,183.0,0.536,0.526,93.0,106.0,0.877,13.0,72.0,85.0,92.0,24.0,8.0,46.0,83.0,559.0
10,James Wiseman,19,39,27,836.0,191.0,368.0,0.519,12.0,38.0,0.316,179.0,330.0,0.542,0.535,54.0,86.0,0.628,55.0,171.0,226.0,26.0,11.0,36.0,60.0,121.0,448.0
11,Mychal Mulder,26,58,5,717.0,109.0,246.0,0.443,78.0,199.0,0.392,31.0,47.0,0.66,0.602,13.0,21.0,0.619,8.0,48.0,56.0,24.0,11.0,11.0,16.0,52.0,309.0
12,Eric Paschall,24,39,2,676.0,144.0,293.0,0.491,17.0,53.0,0.321,127.0,240.0,0.529,0.52,64.0,89.0,0.719,27.0,97.0,124.0,51.0,12.0,7.0,41.0,65.0,369.0
13,Brad Wanamaker,31,39,0,625.0,61.0,173.0,0.353,13.0,61.0,0.213,48.0,112.0,0.429,0.39,50.0,56.0,0.893,8.0,58.0,66.0,99.0,26.0,6.0,37.0,55.0,185.0
14,Nico Mannion,19,29,1,332.0,36.0,102.0,0.353,20.0,54.0,0.37,16.0,48.0,0.333,0.451,20.0,25.0,0.8,3.0,35.0,38.0,63.0,16.0,1.0,30.0,28.0,112.0
15,Alen SmailagiÄ‡,20,14,1,64.0,9.0,21.0,0.429,3.0,7.0,0.429,6.0,14.0,0.429,0.5,2.0,6.0,0.333,5.0,9.0,14.0,3.0,2.0,5.0,4.0,8.0,23.0
16,Gary Payton,28,10,0,40.0,10.0,13.0,0.769,2.0,4.0,0.5,8.0,9.0,0.889,0.846,3.0,4.0,0.75,2.0,9.0,11.0,1.0,6.0,1.0,1.0,8.0,25.0
17,Marquese Chriss,23,2,0,27.0,5.0,14.0,0.357,1.0,5.0,0.2,4.0,9.0,0.444,0.393,2.0,4.0,0.5,3.0,10.0,13.0,2.0,0.0,2.0,2.0,3.0,13.0
